9490	4168	2196	14210	5501	4844	12488	5107	3080	
986	1136	664	1718	1422	1534	4954	3547	5670	
11660	16017	16323	15322	20112	18854	8027	10828	11983	
11971	14635	11372	9511	7282	6825	5720	10863	6562	
8344	8004	6572	4421	4122	10636	9824	9696	10088	
2841	1879	3747	3882	2085	8519	3767	2265	7977	
2815	9582	9459	1801	6630	8670	2533	10122	12360	
2643	2443	3882	6817	5657	4560	5301	4184	8609	
8573	7957	1823	15793	14025	5435	7196	7006	4174	
8909	2375	10333	5439	1225	7105	6848	5025	9615	
6829	12152	6145	9728	13665	6897	8062	13528	7045	
7438	6110	7230	4071	7759	7556	5471	7841	8628	
14311	9981	10050	7656	4424	6372	14424	12172	8681	
7158	7290	5244	7272	7206	4492	8392	8293	6014	
11178	10065	7487	3289	3128	2309	6796	4754	5267	
3857	4977	3744	6673	3894	4673	2674	6514	3692	
8244	5418	6669	6829	4923	6429	4460	3320	4393	
4719	7337	9183	1831	2341	5191	3957	7119	7683	
2814	6386	3463	5598	3201	7531	5577	8179	5309	
4629	5444	8707	1225	6529	8904	4695	9499	11243	
10355	1656	13123	8869	3360	12609	3297	1884	3877	
8092	10092	11658	4847	4594	6013	4913	5855	6740	
9672	10598	6584	9122	9237	5629	3301	8396	2310	
11891	14542	8823	9483	14155	10346	6435	9830	7382	
9313	7285	6271	6047	9835	2318	7685	12731	1957	
8052	8774	8709	8928	9720	12308	3096	3738	7432	
13279	7153	14176	6155	3361	6612	11243	6837	14056	
12999	8410	8054	13722	10307	11464	9951	6334	6023	
9936	3701	12733	12087	2513	11913	10403	3967	14065	
4661	7952	3492	8794	3863	1637	5826	3916	1804	
4744	8363	2511	10591	19062	4994	4009	12170	2934	
4927	1275	3869	6383	5132	5995	5145	6998	4851	
3945	8127	8180	6372	6828	2924	9765	9543	5637	
1220	578	1360	3159	2455	5937	10687	5638	13139	
12888	17236	13170	4430	8070	5640	1798	7356	6045	
4609	2842	6059	4253	1819	5777	9403	6592	7621	
7715	9321	1804	5669	6965	1366	10535	10336	2089	
7490	8186	2222	6779	7945	1809	8496	11726	2918	
10125	10084	12299	9390	5785	7731	8205	11513	13482	
13116	4040	7099	8766	2746	3377	10530	2950	4982	
13201	5593	11292	18300	7092	9016	18030	7644	12602	
8518	12952	11592	10224	16150	13228	6223	8668	7942	
8199	4515	6978	9839	5555	7201	10698	6074	7673	
6100	4620	7345	5732	6922	11797	5103	4639	7970	
4611	8797	17048	5926	10699	18512	3986	4568	13540	
5727	4656	4553	5898	7436	3156	10526	10649	10575	
5815	12536	8883	5191	8072	4855	4593	12480	11409	
9778	11115	7423	9568	11094	6832	9385	12423	6970	
4604	4934	9028	3969	4806	6735	2692	6853	9720	
12186	12270	6208	11478	12056	3936	8850	8037	5461	
